,From Date,To Date,SO2
35157,2020-06-25 01:15:00,2020-06-25 01:30:00,11.79
35253,2020-06-26 01:15:00,2020-06-26 01:30:00,10.03
35349,2020-06-27 01:15:00,2020-06-27 01:30:00,None
35445,2020-06-28 01:15:00,2020-06-28 01:30:00,18.63
35541,2020-06-29 01:15:00,2020-06-29 01:30:00,9.56
35637,2020-06-30 01:15:00,2020-06-30 01:30:00,14.88
35733,2020-01-07 01:15:00,2020-01-07 01:30:00,14.88
35829,2020-02-07 01:15:00,2020-02-07 01:30:00,28.56
35925,2020-03-07 01:15:00,2020-03-07 01:30:00,15.54
36021,2020-04-07 01:15:00,2020-04-07 01:30:00,21.8
36117,2020-05-07 01:15:00,2020-05-07 01:30:00,9.38
36213,2020-06-07 01:15:00,2020-06-07 01:30:00,16.43
36309,2020-07-07 01:15:00,2020-07-07 01:30:00,14.49
36405,2020-08-07 01:15:00,2020-08-07 01:30:00,17.79
36501,2020-09-07 01:15:00,2020-09-07 01:30:00,17.58
36597,2020-10-07 01:15:00,2020-10-07 01:30:00,16.4
36693,2020-11-07 01:15:00,2020-11-07 01:30:00,22.27
36789,2020-12-07 01:15:00,2020-12-07 01:30:00,20.44
36885,2020-07-13 01:15:00,2020-07-13 01:30:00,19.26
36981,2020-07-14 01:15:00,2020-07-14 01:30:00,15.93
37077,2020-07-15 01:15:00,2020-07-15 01:30:00,19.96
37173,2020-07-16 01:15:00,2020-07-16 01:30:00,8.46
37269,2020-07-17 01:15:00,2020-07-17 01:30:00,21.9
37365,2020-07-18 01:15:00,2020-07-18 01:30:00,18.47
37461,2020-07-19 01:15:00,2020-07-19 01:30:00,22.98
37557,2020-07-20 01:15:00,2020-07-20 01:30:00,5.74
37653,2020-07-21 01:15:00,2020-07-21 01:30:00,29.45
37749,2020-07-22 01:15:00,2020-07-22 01:30:00,20.93
37845,2020-07-23 01:15:00,2020-07-23 01:30:00,21.3
37941,2020-07-24 01:15:00,2020-07-24 01:30:00,10.48
38037,2020-07-25 01:15:00,2020-07-25 01:30:00,11.84
38133,2020-07-26 01:15:00,2020-07-26 01:30:00,15.96
38229,2020-07-27 01:15:00,2020-07-27 01:30:00,0.05
38325,2020-07-28 01:15:00,2020-07-28 01:30:00,None
38421,2020-07-29 01:15:00,2020-07-29 01:30:00,25.31
38517,2020-07-30 01:15:00,2020-07-30 01:30:00,9.98
38613,2020-07-31 01:15:00,2020-07-31 01:30:00,10.66
38709,2020-01-08 01:15:00,2020-01-08 01:30:00,4.11
38805,2020-02-08 01:15:00,2020-02-08 01:30:00,25.36
38901,2020-03-08 01:15:00,2020-03-08 01:30:00,16.56
38997,2020-04-08 01:15:00,2020-04-08 01:30:00,7.41
39093,2020-05-08 01:15:00,2020-05-08 01:30:00,20.07
39189,2020-06-08 01:15:00,2020-06-08 01:30:00,11.97
39285,2020-07-08 01:15:00,2020-07-08 01:30:00,7.57
39381,2020-08-08 01:15:00,2020-08-08 01:30:00,5.08
39477,2020-09-08 01:15:00,2020-09-08 01:30:00,12
39573,2020-10-08 01:15:00,2020-10-08 01:30:00,22.43
39669,2020-11-08 01:15:00,2020-11-08 01:30:00,20.54
39765,2020-12-08 01:15:00,2020-12-08 01:30:00,15.14
39861,2020-08-13 01:15:00,2020-08-13 01:30:00,14.28
39957,2020-08-14 01:15:00,2020-08-14 01:30:00,12.81
40053,2020-08-15 01:15:00,2020-08-15 01:30:00,22.77
40149,2020-08-16 01:15:00,2020-08-16 01:30:00,18.03
40245,2020-08-17 01:15:00,2020-08-17 01:30:00,None
40341,2020-08-18 01:15:00,2020-08-18 01:30:00,10.53
40437,2020-08-19 01:15:00,2020-08-19 01:30:00,7.31
40533,2020-08-20 01:15:00,2020-08-20 01:30:00,3.75
40629,2020-08-21 01:15:00,2020-08-21 01:30:00,3.93
40725,2020-08-22 01:15:00,2020-08-22 01:30:00,33.33
40821,2020-08-23 01:15:00,2020-08-23 01:30:00,5.97
40917,2020-08-24 01:15:00,2020-08-24 01:30:00,9.48
41013,2020-08-25 01:15:00,2020-08-25 01:30:00,6.16
41109,2020-08-26 01:15:00,2020-08-26 01:30:00,7.83
41205,2020-08-27 01:15:00,2020-08-27 01:30:00,3.75
41301,2020-08-28 01:15:00,2020-08-28 01:30:00,3.75
41397,2020-08-29 01:15:00,2020-08-29 01:30:00,3.75
41493,2020-08-30 01:15:00,2020-08-30 01:30:00,6.6
41589,2020-08-31 01:15:00,2020-08-31 01:30:00,3.72
41685,2020-01-09 01:15:00,2020-01-09 01:30:00,10.87
41781,2020-02-09 01:15:00,2020-02-09 01:30:00,3.14
41877,2020-03-09 01:15:00,2020-03-09 01:30:00,2.33
41973,2020-04-09 01:15:00,2020-04-09 01:30:00,None
42069,2020-05-09 01:15:00,2020-05-09 01:30:00,10.51
42165,2020-06-09 01:15:00,2020-06-09 01:30:00,3.85
42261,2020-07-09 01:15:00,2020-07-09 01:30:00,3.85
42357,2020-08-09 01:15:00,2020-08-09 01:30:00,None
42453,2020-09-09 01:15:00,2020-09-09 01:30:00,17.27
42549,2020-10-09 01:15:00,2020-10-09 01:30:00,26.41
42645,2020-11-09 01:15:00,2020-11-09 01:30:00,3.85
42741,2020-12-09 01:15:00,2020-12-09 01:30:00,10.74
42837,2020-09-13 01:15:00,2020-09-13 01:30:00,3.85
42933,2020-09-14 01:15:00,2020-09-14 01:30:00,56.83
43029,2020-09-15 01:15:00,2020-09-15 01:30:00,5.79
43125,2020-09-16 01:15:00,2020-09-16 01:30:00,3.85
43221,2020-09-17 01:15:00,2020-09-17 01:30:00,3.85
43317,2020-09-18 01:15:00,2020-09-18 01:30:00,None
43413,2020-09-19 01:15:00,2020-09-19 01:30:00,14.67
43509,2020-09-20 01:15:00,2020-09-20 01:30:00,3.85
43605,2020-09-21 01:15:00,2020-09-21 01:30:00,3.85
43701,2020-09-22 01:15:00,2020-09-22 01:30:00,22.45
43797,2020-09-23 01:15:00,2020-09-23 01:30:00,6.37
43893,2020-09-24 01:15:00,2020-09-24 01:30:00,3.46
43989,2020-09-25 01:15:00,2020-09-25 01:30:00,4.14
44085,2020-09-26 01:15:00,2020-09-26 01:30:00,26.54
44181,2020-09-27 01:15:00,2020-09-27 01:30:00,18.21
44277,2020-09-28 01:15:00,2020-09-28 01:30:00,29.29
44373,2020-09-29 01:15:00,2020-09-29 01:30:00,None
44469,2020-09-30 01:15:00,2020-09-30 01:30:00,34.3
44565,2020-01-10 01:15:00,2020-01-10 01:30:00,27.8
44661,2020-02-10 01:15:00,2020-02-10 01:30:00,23.61
44757,2020-03-10 01:15:00,2020-03-10 01:30:00,8.38
44853,2020-04-10 01:15:00,2020-04-10 01:30:00,10.56
44949,2020-05-10 01:15:00,2020-05-10 01:30:00,27.25
45045,2020-06-10 01:15:00,2020-06-10 01:30:00,3.46
45141,2020-07-10 01:15:00,2020-07-10 01:30:00,17.92
45237,2020-08-10 01:15:00,2020-08-10 01:30:00,35.74
45333,2020-09-10 01:15:00,2020-09-10 01:30:00,24.97
45429,2020-10-10 01:15:00,2020-10-10 01:30:00,32.38
45525,2020-11-10 01:15:00,2020-11-10 01:30:00,38.91
45621,2020-12-10 01:15:00,2020-12-10 01:30:00,25.23
45717,2020-10-13 01:15:00,2020-10-13 01:30:00,14.86
45813,2020-10-14 01:15:00,2020-10-14 01:30:00,53.71
45909,2020-10-15 01:15:00,2020-10-15 01:30:00,32.93
46005,2020-10-16 01:15:00,2020-10-16 01:30:00,33.43
46101,2020-10-17 01:15:00,2020-10-17 01:30:00,41.37
46197,2020-10-18 01:15:00,2020-10-18 01:30:00,108.78
46293,2020-10-19 01:15:00,2020-10-19 01:30:00,31.91
46389,2020-10-20 01:15:00,2020-10-20 01:30:00,None
46485,2020-10-21 01:15:00,2020-10-21 01:30:00,26.86
46581,2020-10-22 01:15:00,2020-10-22 01:30:00,26.99
46677,2020-10-23 01:15:00,2020-10-23 01:30:00,13.65
46773,2020-10-24 01:15:00,2020-10-24 01:30:00,None
46869,2020-10-25 01:15:00,2020-10-25 01:30:00,116.85
46965,2020-10-26 01:15:00,2020-10-26 01:30:00,2.7
47061,2020-10-27 01:15:00,2020-10-27 01:30:00,19.28
47157,2020-10-28 01:15:00,2020-10-28 01:30:00,16.51
47253,2020-10-29 01:15:00,2020-10-29 01:30:00,57.46
47349,2020-10-30 01:15:00,2020-10-30 01:30:00,63.14
47445,2020-10-31 01:15:00,2020-10-31 01:30:00,82.03
47541,2020-01-11 01:15:00,2020-01-11 01:30:00,37.44
47637,2020-02-11 01:15:00,2020-02-11 01:30:00,47.68
47733,2020-03-11 01:15:00,2020-03-11 01:30:00,17.11
47829,2020-04-11 01:15:00,2020-04-11 01:30:00,2.62
47925,2020-05-11 01:15:00,2020-05-11 01:30:00,42.44
48021,2020-06-11 01:15:00,2020-06-11 01:30:00,26.2
48117,2020-07-11 01:15:00,2020-07-11 01:30:00,99.87
48213,2020-08-11 01:15:00,2020-08-11 01:30:00,32.78
48309,2020-09-11 01:15:00,2020-09-11 01:30:00,24
48405,2020-10-11 01:15:00,2020-10-11 01:30:00,26.86
48501,2020-11-11 01:15:00,2020-11-11 01:30:00,39.09
48597,2020-12-11 01:15:00,2020-12-11 01:30:00,18.84
48693,2020-11-13 01:15:00,2020-11-13 01:30:00,29.11
48789,2020-11-14 01:15:00,2020-11-14 01:30:00,6.21
48885,2020-11-15 01:15:00,2020-11-15 01:30:00,17.61
48981,2020-11-16 01:15:00,2020-11-16 01:30:00,14.83
49077,2020-11-17 01:15:00,2020-11-17 01:30:00,28.01
49173,2020-11-18 01:15:00,2020-11-18 01:30:00,21.09
49269,2020-11-19 01:15:00,2020-11-19 01:30:00,49.05
49365,2020-11-20 01:15:00,2020-11-20 01:30:00,24.92
49461,2020-11-21 01:15:00,2020-11-21 01:30:00,3.77
49557,2020-11-22 01:15:00,2020-11-22 01:30:00,17.87
49653,2020-11-23 01:15:00,2020-11-23 01:30:00,4.82
49749,2020-11-24 01:15:00,2020-11-24 01:30:00,2.93
49845,2020-11-25 01:15:00,2020-11-25 01:30:00,15.09
49941,2020-11-26 01:15:00,2020-11-26 01:30:00,26.46
50037,2020-11-27 01:15:00,2020-11-27 01:30:00,21.59
50133,2020-11-28 01:15:00,2020-11-28 01:30:00,6.03
50229,2020-11-29 01:15:00,2020-11-29 01:30:00,18.18
50325,2020-11-30 01:15:00,2020-11-30 01:30:00,34.92
50421,2020-01-12 01:15:00,2020-01-12 01:30:00,36.18
50517,2020-02-12 01:15:00,2020-02-12 01:30:00,13.44
50613,2020-03-12 01:15:00,2020-03-12 01:30:00,17.32
50709,2020-04-12 01:15:00,2020-04-12 01:30:00,45.9
50805,2020-05-12 01:15:00,2020-05-12 01:30:00,17.08
50901,2020-06-12 01:15:00,2020-06-12 01:30:00,20.28
50997,2020-07-12 01:15:00,2020-07-12 01:30:00,15.88
51093,2020-08-12 01:15:00,2020-08-12 01:30:00,34.45
51189,2020-09-12 01:15:00,2020-09-12 01:30:00,34.72
51285,2020-10-12 01:15:00,2020-10-12 01:30:00,11.48
51381,2020-11-12 01:15:00,2020-11-12 01:30:00,32.8
51477,2020-12-12 01:15:00,2020-12-12 01:30:00,17.03
51573,2020-12-13 01:15:00,2020-12-13 01:30:00,15.12
51669,2020-12-14 01:15:00,2020-12-14 01:30:00,13.62
51765,2020-12-15 01:15:00,2020-12-15 01:30:00,20.83
51861,2020-12-16 01:15:00,2020-12-16 01:30:00,24.65
51957,2020-12-17 01:15:00,2020-12-17 01:30:00,6.05
52053,2020-12-18 01:15:00,2020-12-18 01:30:00,17.82
52149,2020-12-19 01:15:00,2020-12-19 01:30:00,5.71
52245,2020-12-20 01:15:00,2020-12-20 01:30:00,58.45
52341,2020-12-21 01:15:00,2020-12-21 01:30:00,38.93
52437,2020-12-22 01:15:00,2020-12-22 01:30:00,18.05
52533,2020-12-23 01:15:00,2020-12-23 01:30:00,15.25
52629,2020-12-24 01:15:00,2020-12-24 01:30:00,18.44
52725,2020-12-25 01:15:00,2020-12-25 01:30:00,18.58
52821,2020-12-26 01:15:00,2020-12-26 01:30:00,18.13
52917,2020-12-27 01:15:00,2020-12-27 01:30:00,8.78
53013,2020-12-28 01:15:00,2020-12-28 01:30:00,12.29
53109,2020-12-29 01:15:00,2020-12-29 01:30:00,10.56
53205,2020-12-30 01:15:00,2020-12-30 01:30:00,12.92
53301,2020-12-31 01:15:00,2020-12-31 01:30:00,3.3
53397,2021-01-01 01:15:00,2021-01-01 01:30:00,27.12
53493,2021-02-01 01:15:00,2021-02-01 01:30:00,4.03
53589,2021-03-01 01:15:00,2021-03-01 01:30:00,13.44
53685,2021-04-01 01:15:00,2021-04-01 01:30:00,19.26
53781,2021-05-01 01:15:00,2021-05-01 01:30:00,31.34
53877,2021-06-01 01:15:00,2021-06-01 01:30:00,3.3
53973,2021-07-01 01:15:00,2021-07-01 01:30:00,6.65
54069,2021-08-01 01:15:00,2021-08-01 01:30:00,9.54
54165,2021-09-01 01:15:00,2021-09-01 01:30:00,4.03
54261,2021-10-01 01:15:00,2021-10-01 01:30:00,20.12
54357,2021-11-01 01:15:00,2021-11-01 01:30:00,4.03
54453,2021-12-01 01:15:00,2021-12-01 01:30:00,4.03
54549,2021-01-13 01:15:00,2021-01-13 01:30:00,16.03
54645,2021-01-14 01:15:00,2021-01-14 01:30:00,6.37
54741,2021-01-15 01:15:00,2021-01-15 01:30:00,4.03
54837,2021-01-16 01:15:00,2021-01-16 01:30:00,6.73
54933,2021-01-17 01:15:00,2021-01-17 01:30:00,10.01
55029,2021-01-18 01:15:00,2021-01-18 01:30:00,13.07
55125,2021-01-19 01:15:00,2021-01-19 01:30:00,3.54
55221,2021-01-20 01:15:00,2021-01-20 01:30:00,19.13
55317,2021-01-21 01:15:00,2021-01-21 01:30:00,9.93
55413,2021-01-22 01:15:00,2021-01-22 01:30:00,34.61
55509,2021-01-23 01:15:00,2021-01-23 01:30:00,None
55605,2021-01-24 01:15:00,2021-01-24 01:30:00,11
55701,2021-01-25 01:15:00,2021-01-25 01:30:00,23.66
55797,2021-01-26 01:15:00,2021-01-26 01:30:00,19.89
55893,2021-01-27 01:15:00,2021-01-27 01:30:00,28.45
55989,2021-01-28 01:15:00,2021-01-28 01:30:00,23.29
56085,2021-01-29 01:15:00,2021-01-29 01:30:00,4.51
56181,2021-01-30 01:15:00,2021-01-30 01:30:00,20.86
56277,2021-01-31 01:15:00,2021-01-31 01:30:00,20.1
56373,2021-01-02 01:15:00,2021-01-02 01:30:00,13.86
56469,2021-02-02 01:15:00,2021-02-02 01:30:00,15.64
56565,2021-03-02 01:15:00,2021-03-02 01:30:00,83.45
56661,2021-04-02 01:15:00,2021-04-02 01:30:00,135.82
56757,2021-05-02 01:15:00,2021-05-02 01:30:00,36.89
56853,2021-06-02 01:15:00,2021-06-02 01:30:00,35.45
56949,2021-07-02 01:15:00,2021-07-02 01:30:00,49.07
57045,2021-08-02 01:15:00,2021-08-02 01:30:00,55.02
57141,2021-09-02 01:15:00,2021-09-02 01:30:00,None
57237,2021-10-02 01:15:00,2021-10-02 01:30:00,17.4
57333,2021-11-02 01:15:00,2021-11-02 01:30:00,27.38
57429,2021-12-02 01:15:00,2021-12-02 01:30:00,103.94
57525,2021-02-13 01:15:00,2021-02-13 01:30:00,33.88
57621,2021-02-14 01:15:00,2021-02-14 01:30:00,28.74
57717,2021-02-15 01:15:00,2021-02-15 01:30:00,32.09
57813,2021-02-16 01:15:00,2021-02-16 01:30:00,6.45
57909,2021-02-17 01:15:00,2021-02-17 01:30:00,5.58
58005,2021-02-18 01:15:00,2021-02-18 01:30:00,15.62
58101,2021-02-19 01:15:00,2021-02-19 01:30:00,39.35
58197,2021-02-20 01:15:00,2021-02-20 01:30:00,5.55
58293,2021-02-21 01:15:00,2021-02-21 01:30:00,34.09
58389,2021-02-22 01:15:00,2021-02-22 01:30:00,58.53
58485,2021-02-23 01:15:00,2021-02-23 01:30:00,15.93
58581,2021-02-24 01:15:00,2021-02-24 01:30:00,13.55
58677,2021-02-25 01:15:00,2021-02-25 01:30:00,33.38
58773,2021-02-26 01:15:00,2021-02-26 01:30:00,18.16
58869,2021-02-27 01:15:00,2021-02-27 01:30:00,36.55
58965,2021-02-28 01:15:00,2021-02-28 01:30:00,7.73
59061,2021-01-03 01:15:00,2021-01-03 01:30:00,11.74
59157,2021-02-03 01:15:00,2021-02-03 01:30:00,5.55
59253,2021-03-03 01:15:00,2021-03-03 01:30:00,5.55
59349,2021-04-03 01:15:00,2021-04-03 01:30:00,38.3
59445,2021-05-03 01:15:00,2021-05-03 01:30:00,14.57
59541,2021-06-03 01:15:00,2021-06-03 01:30:00,8.99
59637,2021-07-03 01:15:00,2021-07-03 01:30:00,44.33
59733,2021-08-03 01:15:00,2021-08-03 01:30:00,104.7
59829,2021-09-03 01:15:00,2021-09-03 01:30:00,72.81
59925,2021-10-03 01:15:00,2021-10-03 01:30:00,80.83
60021,2021-11-03 01:15:00,2021-11-03 01:30:00,23.79
60117,2021-12-03 01:15:00,2021-12-03 01:30:00,None
60213,2021-03-13 01:15:00,2021-03-13 01:30:00,24.84
60309,2021-03-14 01:15:00,2021-03-14 01:30:00,17.95
60405,2021-03-15 01:15:00,2021-03-15 01:30:00,20.62
60501,2021-03-16 01:15:00,2021-03-16 01:30:00,14.96
60597,2021-03-17 01:15:00,2021-03-17 01:30:00,46.87
60693,2021-03-18 01:15:00,2021-03-18 01:30:00,46.74
60789,2021-03-19 01:15:00,2021-03-19 01:30:00,69.51
60885,2021-03-20 01:15:00,2021-03-20 01:30:00,52.22
60981,2021-03-21 01:15:00,2021-03-21 01:30:00,182.56
61077,2021-03-22 01:15:00,2021-03-22 01:30:00,105.48
61173,2021-03-23 01:15:00,2021-03-23 01:30:00,None
61269,2021-03-24 01:15:00,2021-03-24 01:30:00,41.42
61365,2021-03-25 01:15:00,2021-03-25 01:30:00,14.65
61461,2021-03-26 01:15:00,2021-03-26 01:30:00,38.02
61557,2021-03-27 01:15:00,2021-03-27 01:30:00,31.18
61653,2021-03-28 01:15:00,2021-03-28 01:30:00,26.54
61749,2021-03-29 01:15:00,2021-03-29 01:30:00,6.42
61845,2021-03-30 01:15:00,2021-03-30 01:30:00,21.48
61941,2021-03-31 01:15:00,2021-03-31 01:30:00,80.41
62037,2021-01-04 01:15:00,2021-01-04 01:30:00,None
62133,2021-02-04 01:15:00,2021-02-04 01:30:00,None
62229,2021-03-04 01:15:00,2021-03-04 01:30:00,166.87
62325,2021-04-04 01:15:00,2021-04-04 01:30:00,30.52
62421,2021-05-04 01:15:00,2021-05-04 01:30:00,8.52
62517,2021-06-04 01:15:00,2021-06-04 01:30:00,46.4
62613,2021-07-04 01:15:00,2021-07-04 01:30:00,21.56
62709,2021-08-04 01:15:00,2021-08-04 01:30:00,8.52
62805,2021-09-04 01:15:00,2021-09-04 01:30:00,71.71
62901,2021-10-04 01:15:00,2021-10-04 01:30:00,136.69
62997,2021-11-04 01:15:00,2021-11-04 01:30:00,78.15
63093,2021-12-04 01:15:00,2021-12-04 01:30:00,57.38
63189,2021-04-13 01:15:00,2021-04-13 01:30:00,8.52
63285,2021-04-14 01:15:00,2021-04-14 01:30:00,8.52
63381,2021-04-15 01:15:00,2021-04-15 01:30:00,108.73
63477,2021-04-16 01:15:00,2021-04-16 01:30:00,42.81
63573,2021-04-17 01:15:00,2021-04-17 01:30:00,6.42
63669,2021-04-18 01:15:00,2021-04-18 01:30:00,19.96
63765,2021-04-19 01:15:00,2021-04-19 01:30:00,47.87
63861,2021-04-20 01:15:00,2021-04-20 01:30:00,7.89
63957,2021-04-21 01:15:00,2021-04-21 01:30:00,52.27
64053,2021-04-22 01:15:00,2021-04-22 01:30:00,113.89
64149,2021-04-23 01:15:00,2021-04-23 01:30:00,72.99
64245,2021-04-24 01:15:00,2021-04-24 01:30:00,57.82
64341,2021-04-25 01:15:00,2021-04-25 01:30:00,74.96
64437,2021-04-26 01:15:00,2021-04-26 01:30:00,41.95
64533,2021-04-27 01:15:00,2021-04-27 01:30:00,17.37
64629,2021-04-28 01:15:00,2021-04-28 01:30:00,6.42
64725,2021-04-29 01:15:00,2021-04-29 01:30:00,39.51
64821,2021-04-30 01:15:00,2021-04-30 01:30:00,6.42
64917,2021-01-05 01:15:00,2021-01-05 01:30:00,36.13
65013,2021-02-05 01:15:00,2021-02-05 01:30:00,57.77
65109,2021-03-05 01:15:00,2021-03-05 01:30:00,8.52
65205,2021-04-05 01:15:00,2021-04-05 01:30:00,14.41
65301,2021-05-05 01:15:00,2021-05-05 01:30:00,85.12
65397,2021-06-05 01:15:00,2021-06-05 01:30:00,78.55
65493,2021-07-05 01:15:00,2021-07-05 01:30:00,8.52
65589,2021-08-05 01:15:00,2021-08-05 01:30:00,7.83
65685,2021-09-05 01:15:00,2021-09-05 01:30:00,64.64
65781,2021-10-05 01:15:00,2021-10-05 01:30:00,6.73
65877,2021-11-05 01:15:00,2021-11-05 01:30:00,8.23
65973,2021-12-05 01:15:00,2021-12-05 01:30:00,4.77
66069,2021-05-13 01:15:00,2021-05-13 01:30:00,38.25
66165,2021-05-14 01:15:00,2021-05-14 01:30:00,30.86
66261,2021-05-15 01:15:00,2021-05-15 01:30:00,3.56
66357,2021-05-16 01:15:00,2021-05-16 01:30:00,7.47
66453,2021-05-17 01:15:00,2021-05-17 01:30:00,8.86
66549,2021-05-18 01:15:00,2021-05-18 01:30:00,8.59
66645,2021-05-19 01:15:00,2021-05-19 01:30:00,25.86
66741,2021-05-20 01:15:00,2021-05-20 01:30:00,None
66837,2021-05-21 01:15:00,2021-05-21 01:30:00,18.5
66933,2021-05-22 01:15:00,2021-05-22 01:30:00,17.79
67029,2021-05-23 01:15:00,2021-05-23 01:30:00,6.42
67125,2021-05-24 01:15:00,2021-05-24 01:30:00,6.6
67221,2021-05-25 01:15:00,2021-05-25 01:30:00,36.23
67317,2021-05-26 01:15:00,2021-05-26 01:30:00,6.42
67413,2021-05-27 01:15:00,2021-05-27 01:30:00,6.42
67509,2021-05-28 01:15:00,2021-05-28 01:30:00,16.98
67605,2021-05-29 01:15:00,2021-05-29 01:30:00,11.24
67701,2021-05-30 01:15:00,2021-05-30 01:30:00,6.42
67797,2021-05-31 01:15:00,2021-05-31 01:30:00,51.01
67893,2021-01-06 01:15:00,2021-01-06 01:30:00,26.38
67989,2021-02-06 01:15:00,2021-02-06 01:30:00,39.27
68085,2021-03-06 01:15:00,2021-03-06 01:30:00,76.43
68181,2021-04-06 01:15:00,2021-04-06 01:30:00,6.42
68277,2021-05-06 01:15:00,2021-05-06 01:30:00,55.65
68373,2021-06-06 01:15:00,2021-06-06 01:30:00,6.42
68469,2021-07-06 01:15:00,2021-07-06 01:30:00,57.43
68565,2021-08-06 01:15:00,2021-08-06 01:30:00,6.42
68661,2021-09-06 01:15:00,2021-09-06 01:30:00,72.52
68757,2021-10-06 01:15:00,2021-10-06 01:30:00,6.42
68853,2021-11-06 01:15:00,2021-11-06 01:30:00,53.11
68949,2021-12-06 01:15:00,2021-12-06 01:30:00,67.96
69045,2021-06-13 01:15:00,2021-06-13 01:30:00,5.5
69141,2021-06-14 01:15:00,2021-06-14 01:30:00,25.23
69237,2021-06-15 01:15:00,2021-06-15 01:30:00,22.14
69333,2021-06-16 01:15:00,2021-06-16 01:30:00,76.06
69429,2021-06-17 01:15:00,2021-06-17 01:30:00,41.16
69525,2021-06-18 01:15:00,2021-06-18 01:30:00,None
69621,2021-06-19 01:15:00,2021-06-19 01:30:00,None
69717,2021-06-20 01:15:00,2021-06-20 01:30:00,13.1
69813,2021-06-21 01:15:00,2021-06-21 01:30:00,10.11
69909,2021-06-22 01:15:00,2021-06-22 01:30:00,16.3
70005,2021-06-23 01:15:00,2021-06-23 01:30:00,66.39
70101,2021-06-24 01:15:00,2021-06-24 01:30:00,39.22
70197,2021-06-25 01:15:00,2021-06-25 01:30:00,65.66
